userName,conversation_id,interaction_id,step_id,user_input,system_output,classification,extra_info,timestamp
fsdf,conv_20250709_c292f1a5,14,6,que opinas de la tabla a3 de la documentacion iso,No tengo información específica sobre la tabla A3 de la documentación ISO. Te recomendaría consultar directamente con el departamento de calidad para obtener aclaraciones precisas sobre este tema.,ISO,ISO raw GPT data,2025-07-09 12:19:22
fsdf,conv_20250709_c292f1a5,16,7,Donde se encuentra el diagrama tortuga de la documentacion iso?,"{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""Donde se encuentra el diagrama tortuga de la documentacion iso?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",ISO,Classifier Response,2025-07-09 12:20:07
fsdf,conv_20250709_c292f1a5,17,7,Donde se encuentra el diagrama tortuga de la documentacion iso?,No tengo información específica sobre la ubicación del diagrama tortuga en la documentación ISO. Te recomendaría consultar directamente con el departamento de calidad para obtener aclaraciones precisas sobre este tema.,ISO,ISO raw GPT data,2025-07-09 12:20:08
fsdf,conv_20250709_c292f1a5,19,8,cual e sla politica de calidad segun iso?,"{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad segun iso?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",ISO,Classifier Response,2025-07-09 12:20:44
fsdf,conv_20250709_c292f1a5,20,8,cual es la politica de calidad segun iso?,"La política de calidad según ISO 9001 establece el compromiso de la organización para satisfacer las necesidades y expectativas de los clientes, así como para mejorar continuamente la eficacia del sistema de gestión de la calidad. Esta política debe ser documentada, comunicada y entendida dentro de la organización. Implicaciones prácticas para la empresa incluyen la necesidad de establecer objetivos claros de calidad, fomentar una cultura de mejora continua y asegurar que todos los empleados estén alineados con los objetivos de calidad.",ISO,ISO raw GPT data,2025-07-09 12:20:46
fsdf,conv_20250709_c292f1a5,22,9,cual es la politica de calidad de zell?,"{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad de zell?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",ISO,Classifier Response,2025-07-09 12:21:21
fsdf,conv_20250709_c292f1a5,23,9,cual es la politica de calidad de zell?,No tengo información específica sobre la política de calidad de Zell. Te recomendaría consultar directamente con el departamento de calidad para obtener detalles precisos sobre este tema.,ISO,ISO raw GPT data,2025-07-09 12:21:23
fsdf,conv_20250709_7cac9412,1,10,cual es la politica de xalidad de zell??,"{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad de zell?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",ISO,Classifier Response,2025-07-09 12:27:49
fsdf,conv_20250709_7cac9412,2,10,cual es la politica de calidad de zell?,"La Política de Calidad y Seguridad de la Información de Corporativo Zell es la siguiente: 'En Corporativo Zell brindamos soporte y atención a los requerimientos relacionados con los esquemas de servicio de las herramientas Zell que contratan nuestros clientes, quienes proveen servicios financieros. Buscamos la satisfacción de las partes interesadas, asegurando el cumplimiento de los requisitos que nos apliquen con el compromiso de preservar la confidencialidad, integridad y disponibilidad de la información, protegiéndola de amenazas y mitigando los riesgos para asegurar la continuidad de los servicios y operaciones propios de Zell buscando maximizar el retorno de las inversiones, la mejora continua y la sostenibilidad de nuestras operaciones a través de personal capacitado.'",ISO,ISO raw GPT data,2025-07-09 12:27:54
fsdf,conv_20250709_7cac9412,4,11,cuales tickets hablan de migracion ISSTEY del año 2024,"{""classification"": ""Búsqueda Semántica"", ""confidence_score"": 0.9, ""inputs"": {""user_question"": ""cuales tickets hablan de migracion ISSTEY del año 2024"", ""search_query"": ""migracion ISSTEY 2024""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Búsqueda Semántica,Classifier Response,2025-07-09 12:28:18
SANTIAGOTEST,conv_20250807_5b6462e0,1,1,Cuales tickets se levantaron desde que empezo agosto del 2025?,"{""classification"": ""Búsqueda de Query"", ""confidence_score"": 0.92, ""inputs"": {""user_question"": ""Cuales tickets se levantaron desde que empezo agosto del 2025?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Búsqueda de Query,Classifier Response,2025-08-07 17:44:56
SANTIAGOTEST,conv_20250807_5b6462e0,1,1,Cuales tickets se levantaron desde que empezo agosto del 2025?,Generating SQL Query,Búsqueda de Query,,2025-08-07 17:44:56
SANTIAGOTEST,conv_20250807_5b6462e0,3,2,y de esos cuantos han sido levantados por JOHANA?,"{""classification"": ""Pregunta Continuada"", ""confidence_score"": 0.93, ""inputs"": {""context_active"": true, ""user_question"": ""y de esos cuantos han sido levantados por JOHANA?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Pregunta Continuada,Classifier Response,2025-08-07 17:45:43
SANTIAGOTEST,conv_20250807_5b6462e0,3,1,y de esos cuantos han sido levantados por JOHANA?,Se han levantado **6 tickets** desde agosto de 2025 por JOHANA.,Pregunta Respondida,Continuada,2025-08-07 17:45:45
SANTIAGOTEST,conv_20250807_5b6462e0,5,3,"NO, DEL TOTAL DE TICKETS, no del reusltado que muestra nada mas los mas recientes","{""classification"": ""Pregunta Continuada"", ""confidence_score"": 0.92, ""inputs"": {""context_active"": true, ""user_question"": ""NO, DEL TOTAL DE TICKETS, no del resultado que muestra nada más los más recientes""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Pregunta Continuada,Classifier Response,2025-08-07 17:47:03
SANTIAGOTEST,conv_20250807_5b6462e0,5,1,"NO, DEL TOTAL DE TICKETS, no del resultado que muestra nada más los más recientes","Reclassified Query: ¿Cuántos tickets totales han sido levantados desde agosto de 2025 por JOHANA, en lugar de solo los más recientes?",Reclassified,Continuada,2025-08-07 17:47:04
SANTIAGOTEST,conv_20250807_5b6462e0,6,2,"¿Cuántos tickets totales han sido levantados desde agosto de 2025 por JOHANA, en lugar de solo los más recientes?","{""classification"": ""Búsqueda de Query"", ""confidence_score"": 0.95, ""inputs"": {""user_question"": ""¿Cuántos tickets totales han sido levantados desde agosto de 2025 por JOHANA, en lugar de solo los más recientes?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Búsqueda de Query,Classifier Response,2025-08-07 17:47:05
SANTIAGOTEST,conv_20250807_5b6462e0,6,2,"¿Cuántos tickets totales han sido levantados desde agosto de 2025 por JOHANA, en lugar de solo los más recientes?",Generating SQL Query,Búsqueda de Query,,2025-08-07 17:47:05
testuser,conv_20250918_d6641538,1,1,"Hello, how are you?","{""classification"": ""No Relacionado"", ""confidence_score"": 0.9, ""inputs"": {}, ""missing_inputs"": [], ""follow_up_prompt"": ""¡Hola! ¿En qué puedo ayudarte hoy?""}",No Relacionado,Classifier Response,2025-09-18 13:09:26
